Date,V,H,V1,V2,V3,V4,VFinal,H1,H2,H3,H4,HFinal,OpenOU,OpenVHSpd,CloseOU,CloseVHSpd,VML,HML,SecondOU,SecondVHSpd
1027,Cleveland,Chicago,17,23,28,27,95,26,20,25,26,97,197.5,-2.0,198.5,-4.0,160,-180,97.0,-0.0
1027,Detroit,Atlanta,25,23,34,24,106,25,18,23,28,94,197.5,-7.0,196.5,-7.0,255,-320,98.0,-7.0
1027,NewOrleans,GoldenState,35,14,26,20,95,39,20,35,17,111,214.5,-9.5,215.0,-10.5,510,-710,108.0,-3.0
1028,Washington,Orlando,31,22,12,23,88,29,22,16,20,87,204.5,3.5,202.5,4.0,-180,160,100.5,2.5
1028,Philadelphia,Boston,26,14,27,28,95,21,30,28,33,112,198.0,-11.0,198.0,-12.5,800,-1300,98.5,-4.5
1028,Indiana,Toronto,30,15,23,31,99,20,17,35,34,106,198.5,-5.5,199.5,-5.5,195,-235,103.0,-4.5
1028,Chicago,Brooklyn,30,28,28,29,115,19,36,16,29,100,194.5,6.0,196.5,5.0,-205,175,100.5,2.5
1028,Charlotte,Miami,27,17,16,34,94,23,31,19,31,104,193.0,-6.5,193.5,-6.5,210,-260,94.0,-0.5
1028,Utah,Detroit,15,29,20,23,87,16,25,28,23,92,188.0,2.0,191.0,-0.0,-105,-115,100.0,-0.5
1028,SanAntonio,OklahomaCity,27,28,28,23,106,29,21,29,33,112,208.0,-5.0,207.0,-4.0,165,-185,108.5,-3.5
1028,NewYork,Milwaukee,27,36,27,32,122,23,28,22,24,97,192.5,-6.5,194.5,-4.5,175,-205,98.5,-5.5
1028,Denver,Houston,27,26,23,29,105,21,28,14,22,85,212.5,-10.0,211.5,-10.5,510,-710,106.0,-9.0
1028,Cleveland,Memphis,26,27,26,27,106,10,22,23,21,76,188.5,-6.0,189.0,-5.0,185,-215,93.5,-7.5
1028,NewOrleans,Portland,18,25,24,27,94,43,27,17,25,112,206.0,-2.5,206.5,-2.0,105,-125,102.0,5.0
1028,Dallas,Phoenix,24,30,34,23,111,22,23,21,29,95,204.0,-4.5,203.0,-6.0,210,-260,102.0,-6.0
1028,LAClippers,Sacramento,25,31,29,26,111,17,29,28,30,104,210.5,5.0,212.0,5.5,-230,190,106.0,0.5
1028,Minnesota,LALakers,22,29,37,24,112,31,29,35,16,111,202.5,-3.5,202.5,-2.5,120,-140,104.5,1.5
1029,Memphis,Indiana,29,21,23,39,112,20,29,26,28,103,185.0,3.0,191.0,3.0,-145,125,97.0,2.5
1029,Atlanta,NewYork,30,31,23,28,112,20,25,27,29,101,196.0,4.0,199.0,4.5,-185,165,101.5,-2.5
1029,Dallas,LAClippers,17,26,25,20,88,22,29,34,19,104,211.5,-9.0,212.5,-12.0,650,-950,105.0,-6.0
